IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
35.201.203.106,443,true,TPE,Asia Pacific,Taipei,85 ms,22787 kB/s
217.163.76.107,2053,true,SJC,North America,San Jose,178 ms,12529 kB/s
64.64.235.135,49121,true,LAX,North America,Los Angeles,176 ms,9573 kB/s
219.240.54.189,10434,true,ICN,Asia Pacific,Seoul,76 ms,9304 kB/s
47.236.104.98,2053,true,SIN,Asia Pacific,Singapore,244 ms,8861 kB/s
47.236.10.100,2053,true,SIN,Asia Pacific,Singapore,223 ms,8850 kB/s
8.222.238.141,2053,true,SIN,Asia Pacific,Singapore,214 ms,8207 kB/s
8.222.154.50,2053,true,SIN,Asia Pacific,Singapore,224 ms,8156 kB/s
8.222.155.242,2053,true,SIN,Asia Pacific,Singapore,215 ms,8145 kB/s
47.236.161.155,2053,true,SIN,Asia Pacific,Singapore,232 ms,8057 kB/s
154.197.121.99,8443,true,SJC,North America,San Jose,281 ms,7899 kB/s
47.236.103.153,2053,true,SIN,Asia Pacific,Singapore,223 ms,7866 kB/s
185.212.63.200,443,true,LHR,Europe,London,201 ms,7655 kB/s
8.222.134.170,2053,true,SIN,Asia Pacific,Singapore,219 ms,7583 kB/s
124.111.188.119,19091,true,KIX,Asia Pacific,Osaka,113 ms,7572 kB/s
8.222.145.110,2053,true,SIN,Asia Pacific,Singapore,238 ms,7365 kB/s
185.212.62.119,443,true,LHR,Europe,London,208 ms,6987 kB/s
154.197.121.253,443,true,SJC,North America,San Jose,242 ms,6778 kB/s
110.13.212.97,20880,true,ICN,Asia Pacific,Seoul,99 ms,6758 kB/s
8.222.150.197,2053,true,SIN,Asia Pacific,Singapore,219 ms,6409 kB/s
14.54.63.38,50030,true,ICN,Asia Pacific,Seoul,87 ms,5833 kB/s
58.238.88.129,10106,true,ICN,Asia Pacific,Seoul,90 ms,5705 kB/s
154.197.121.254,8443,true,SJC,North America,San Jose,181 ms,5594 kB/s
1.232.40.93,39460,true,KIX,Asia Pacific,Osaka,109 ms,5564 kB/s
